,player_ids,player_names,player_birthdays,player_birthcities,player_birthcountries,player_nationalities,player_heights,player_weights,player_handedness,player_positions
2522,8450848,Gary Rissling,1956-08-18,Saskatoon,CAN,CAN,"5' 9""",174,L,Left Wing
2352,8446819,Mike Fidler,1956-08-19,Everett,USA,USA,"5' 11""",195,L,Left Wing
2471,8452692,Ron Zanussi,1956-08-31,Toronto,CAN,CAN,"5' 10""",180,R,Right Wing
2687,8449887,Kent Nilsson,1956-08-31,Nynashamn,SWE,SWE,"6' 0""",187,L,Center
2467,8448201,Don Jackson,1956-09-02,Minneapolis,USA,USA,"6' 3""",210,L,Defenseman
2137,8451959,Mario Tremblay,1956-09-02,Alma,CAN,CAN,"6' 0""",189,R,Right Wing
2377,8451325,Glen Sharpley,1956-09-06,York,CAN,CAN,"6' 0""",189,L,Center
2629,8452197,Yvon Vautour,1956-09-10,St. John,CAN,CAN,"6' 0""",200,L,Right Wing
2459,8450135,Rob Palmer,1956-09-10,Sarnia,CAN,CAN,"5' 11""",190,R,Defenseman
2611,8448327,Bernie Johnston,1956-09-15,Toronto,CAN,CAN,"5' 11""",185,L,Center
2175,8449734,Grant Mulvey,1956-09-17,Sudbury,CAN,CAN,"6' 4""",200,NA,Right Wing
2767,8451689,Peter Stastny,1956-09-18,Bratislava,SVK,SVK,"6' 1""",200,L,Center
2877,8445602,Dan Bonar,1956-09-23,Brandon,CAN,CAN,"5' 9""",175,R,Center
2409,8449623,Bob Miller,1956-09-28,Medford,USA,USA,"5' 10""",174,L,Center
2367,8451799,Brian Sutter,1956-10-07,Viking,CAN,CAN,"5' 10""",180,L,Left Wing
2519,8445981,Greg Carroll,1956-10-10,Gimli,CAN,CAN,"6' 0""",185,L,Center
2531,8446329,Mal Davis,1956-10-10,Lockeport,CAN,CAN,"5' 11""",180,L,Left Wing
2417,8451246,Rod Schutt,1956-10-13,Bancroft,CAN,CAN,"5' 10""",185,L,Left Wing
2627,8449713,Ken Morrow,1956-10-17,Davison,USA,USA,"6' 5""",205,R,Defenseman
2143,8446057,Guy Chouinard,1956-10-20,Quebec City,CAN,CAN,"5' 11""",182,R,Center
2311,8449735,Don Murdoch,1956-10-25,Cranbrook,CAN,CAN,"5' 11""",180,R,Right Wing
2962,8452279,James Walsh,1956-10-26,Norfolk,USA,USA,"6' 0""",209,NA,Defenseman
2369,8449121,Bob Manno,1956-10-31,Niagara Falls,CAN,ITA,"6' 0""",185,L,Defenseman
2318,8451802,Mark Suzor,1956-11-05,Windsor,CAN,CAN,"6' 2""",220,L,Defenseman
2472,8447949,Mike Hordy,1956-11-10,Thunder Bay,CAN,CAN,"5' 10""",180,R,Defenseman
2431,8445388,Jim Bedard,1956-11-14,Niagara Falls,CAN,CAN,"6' 0""",178,L,Goalie
2339,8451378,Bobby Simpson,1956-11-17,Caughnawaga,CAN,CAN,"6' 0""",185,L,Left Wing
2381,8449457,Alex McKendry,1956-11-21,Midland,CAN,CAN,"6' 3""",200,L,Left Wing
2442,8450804,Darcy Regier,1956-11-27,Swift Current,CAN,CAN,"5' 10""",187,L,Defenseman
2791,8445212,Bill Baker,1956-11-29,Grand Rapids,USA,USA,"6' 1""",195,L,Defenseman
2591,8449190,Peter Marsh,1956-12-21,Halifax,CAN,CAN,"6' 0""",169,L,Right Wing
2343,8450216,Douglas Patey,1956-12-28,Toronto,CAN,CAN,"5' 10""",180,NA,Right Wing
2759,8448218,Steve Janaszek,1957-01-07,St. Paul,USA,USA,"6' 0""",209,L,Goalie
2580,8445454,John Bethel,1957-01-15,Montréal,CAN,CAN,"5' 11""",185,L,Left Wing
2404,8447492,Jim Hamilton,1957-01-18,Barrie,CAN,CAN,"6' 0""",180,L,Right Wing
2455,8447194,Jere Gillis,1957-01-18,Bend,USA,USA,"6' 0""",194,L,Left Wing
2392,8447142,Mike Keating,1957-01-21,Toronto,CAN,CAN,"6' 0""",185,L,Left Wing
2379,8445611,Mike Bossy,1957-01-22,Montréal,CAN,CAN,"6' 0""",186,R,Right Wing
2445,8449377,Dale McCourt,1957-01-26,Falconbridge,CAN,CAN,"5' 10""",180,R,Center
2473,8449140,Hector Marini,1957-01-27,Timmins,CAN,CAN,"6' 0""",205,R,Right Wing
